,Player,Nation,Main_Pos,Sec_Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Gls,Ast,Ast,G+A,G+A,G-PK,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Gls,Ast,Ast,G+A,G+A,G-PK,G-PK,G+A-PK,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Total Tackels,TklW,Def 3rd,Mid 3rd,Att 3rd,Dribblers_Tackeld,Dribblers_Tackel_Att,Dribblers_Tackel%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Total_Cmp,Total_Att,Total_Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Touches,Touches_Def_Pen_Area,Touches_Def_3rd_Area,Touches_Mid_3rd_Area,Touches_Att_3rd_Area,Touches_Att_Pen_Area,Live_Touches_in_Game,Dribbling_Att,Dribbling_Succ,Dribbling_Succ%,Tackeld_Dribbling,Tackeld_Dribbling%,Total_Carry_Distance,Total_Progressive_Carry_Distance,Total_Carries_in_1/3,Total_Carries_in_Penalty_Area,Miscontrols_Carries,Dispossed_Carries,Passes_Received,Progressive_Passes_Received,Shot_Creating_Action,Shot_Creating_Action_90,Live_Passes_lead_Shot_Att,Dead_Passes_lead_Shot_Att,Shot_Att_after_Dribbling,Shot_lead_to_Shot_Att,Foul_drawn_lead_Shot_Att,Def_Action_lead_Shot_Att,GCA,GCA90,Live_Pass_lead_Goal,Dead_Pass_lead_Goal,Goal_after_Dribbling,Shot_lead_Goal,Foul_drawn_lead_Goal,Def_Action_lead_Goal,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Save%,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Att,Cmp%,Att (GK),Thr,Launch%,Launch%,AvgLen,AvgLen,Att,Att,Launch%,Launch%,AvgLen,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,League,Year
10,Adama Boiro,ES,DF,FW,Athletic Club,22.0,2002.0,18,13,1101,12.2,0,0.00,0,0.00,0,0.00,0,0.00,0,0,3,0,0.3,0.3,0.5,0.7,25,46,36,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,20,11,11,7,2,10,15,66.7,5,10,3,7,12,32,27,1,401,502,79.9,6196,1937,216,239,90.4,170,216,78.7,11,29,37.9,0,0.5,0.6,-0.5,5,44,8,4,46,627,25,158,309,165,14,627,26,8,30.8,16,61.5,1675,890,21,5,23,15,332,36,16,1.31,12,1,1,1,1,0,0,0.00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,La Liga,2025
11,Adnan Januzaj,BE,MF,FW,Las Palmas,29.0,1995.0,18,5,598,6.6,2,0.30,1,0.15,3,0.45,2,0.30,0,0,5,0,0.8,0.8,1.1,1.9,24,41,58,2,0.30,1,0.15,3,0.45,2,0.30,0.45,0.30,0.15,0.45,0.30,0.45,0.13,0.16,0.29,0.13,0.29,10,6,1,6,3,5,9,55.6,4,6,0,6,2,12,3,0,242,350,69.1,4610,1469,100,114,87.7,103,133,77.4,34,79,43.0,1,1.1,1.6,-0.1,17,28,14,4,41,459,5,31,218,216,15,459,38,14,36.8,22,57.9,1780,781,14,5,31,9,319,58,37,5.57,20,9,0,3,5,0,5,0.75,2,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,La Liga,2025
12,Adri Embarba,ES,FW,MF,Rayo Vallecano,32.0,1992.0,35,18,1607,17.9,1,0.06,1,0.06,2,0.11,1,0.06,0,0,4,0,2.1,2.1,2.7,4.8,47,45,114,1,0.06,1,0.06,2,0.11,1,0.06,0.11,0.06,0.06,0.11,0.06,0.11,0.12,0.15,0.27,0.12,0.27,41,20,17,17,7,18,47,38.3,29,18,1,17,13,54,14,2,383,599,63.9,6104,1485,218,272,80.1,104,156,66.7,43,118,36.4,1,2.7,2.5,-1.7,20,23,17,10,45,847,17,104,333,433,44,847,56,20,35.7,30,53.6,2748,1257,33,12,61,24,527,114,46,2.58,28,10,1,1,6,0,2,0.11,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,La Liga,2025
13,Adrian Baquerin,ES,FW,FW,Valladolid,17.0,2007.0,5,0,49,0.5,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0.4,0.4,0.0,0.4,0,1,0,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.71,0.00,0.71,0.71,0.71,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,9,10,90.0,122,11,5,5,100.0,2,2,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,1,0,1,18,1,2,8,8,3,18,2,0,0.0,1,50.0,21,4,0,0,1,1,11,0,1,1.87,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,La Liga,2025
14,Adrian Niño,ES,FW,FW,Atlético Madrid,20.0,2004.0,1,0,12,0.1,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0.2,0.2,0.0,0.2,0,0,1,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.44,0.00,1.44,1.44,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,2,0,0,0,2,2,2,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,La Liga,2025
15,Adrian Rodriguez,ES,GK,-,Alavés,23.0,2000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,122.0,2.0,1.48,6.0,4.0,83.3,0.0,0.0,1.0,0.0,1.0,100.0,1.0,1.0,0.0,0.0,83.3,0.0,0.0,0.0,0.0,1.5,0.13,-0.5,-0.36,18.0,48,24,37.5,26.0,0.0,92.3,100.0,56.3,67.4,48,24,92.3,100.0,56.3,67.4,33.0,0.0,0.0,0.0,0.0,9.8,La Liga,2025
16,Adrian Rodriguez,ES,GK,GK,Alavés,23.0,2000.0,2,1,122,1.4,0,0.00,0,0.00,0,0.00,0,0.00,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,1,19,50,38.0,1160,1084,1,1,100.0,0,0,0,18,48,37.5,0,0.0,0.0,0.0,0,1,0,0,0,58,45,55,3,0,0,58,0,0,0,0,0,135,61,0,0,0,0,4,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,La Liga,2025
17,Adrià Altimira,ES,DF,FW,Leganés,23.0,2001.0,22,19,1630,18.1,0,0.00,0,0.00,0,0.00,0,0.00,0,0,6,0,0.3,0.3,0.5,0.8,23,42,69,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.04,0.02,0.04,41,24,26,12,3,24,40,60.0,16,15,6,9,15,56,54,2,483,615,78.5,7731,2148,255,292,87.3,186,237,78.5,34,61,55.7,0,0.5,0.7,-0.5,11,34,10,2,42,826,57,248,380,209,8,826,31,10,32.3,12,38.7,1917,1049,23,4,28,7,432,69,21,1.16,14,1,1,0,5,0,1,0.06,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,La Liga,2025
18,Adrià Pedrosa,ES,DF,DF,Sevilla,26.0,1998.0,31,27,2298,25.5,1,0.04,1,0.04,2,0.08,1,0.04,0,0,7,0,0.9,0.9,1.6,2.5,41,79,96,1,0.04,1,0.04,2,0.08,1,0.04,0.08,0.04,0.04,0.08,0.04,0.08,0.04,0.06,0.10,0.04,0.10,56,32,34,16,6,31,54,57.4,23,43,11,32,24,80,85,0,886,1196,74.1,15011,5325,432,475,90.9,380,482,78.8,60,178,33.7,1,1.6,1.7,-0.6,20,66,22,10,79,1526,90,533,634,373,21,1526,37,17,45.9,18,48.6,3350,1832,49,6,37,15,826,96,47,1.84,31,8,4,3,1,0,4,0.16,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,La Liga,2025
19,Adrián,ES,GK,-,Betis,37.0,1987.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,19.0,1710.0,27.0,1.42,76.0,49.0,65.8,0.0,10.0,5.0,4.0,3.0,15.8,1.0,1.0,0.0,0.0,65.8,0.0,2.0,5.0,0.0,26.0,0.33,-1.0,-0.05,58.0,178,109,32.6,507.0,91.0,28.0,33.0,31.2,33.8,178,109,28.0,33.0,31.2,33.8,257.0,14.0,5.4,16.0,0.84,11.7,La Liga,2025
