,Player,Nation,Main_Pos,Sec_Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Gls,Ast,Ast,G+A,G+A,G-PK,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Gls,Ast,Ast,G+A,G+A,G-PK,G-PK,G+A-PK,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Total Tackels,TklW,Def 3rd,Mid 3rd,Att 3rd,Dribblers_Tackeld,Dribblers_Tackel_Att,Dribblers_Tackel%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Total_Cmp,Total_Att,Total_Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Touches,Touches_Def_Pen_Area,Touches_Def_3rd_Area,Touches_Mid_3rd_Area,Touches_Att_3rd_Area,Touches_Att_Pen_Area,Live_Touches_in_Game,Dribbling_Att,Dribbling_Succ,Dribbling_Succ%,Tackeld_Dribbling,Tackeld_Dribbling%,Total_Carry_Distance,Total_Progressive_Carry_Distance,Total_Carries_in_1/3,Total_Carries_in_Penalty_Area,Miscontrols_Carries,Dispossed_Carries,Passes_Received,Progressive_Passes_Received,Shot_Creating_Action,Shot_Creating_Action_90,Live_Passes_lead_Shot_Att,Dead_Passes_lead_Shot_Att,Shot_Att_after_Dribbling,Shot_lead_to_Shot_Att,Foul_drawn_lead_Shot_Att,Def_Action_lead_Shot_Att,GCA,GCA90,Live_Pass_lead_Goal,Dead_Pass_lead_Goal,Goal_after_Dribbling,Shot_lead_Goal,Foul_drawn_lead_Goal,Def_Action_lead_Goal,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Save%,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Att,Cmp%,Att (GK),Thr,Launch%,Launch%,AvgLen,AvgLen,Att,Att,Launch%,Launch%,AvgLen,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,League,Year
10,Alan Matturro,UY,DF,DF,Genoa,19.0,2004.0,13,9,900,10.0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,2,0,0.2,0.2,0.2,0.4,12,15,9,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,11,6,6,5,0,3,14,21.4,11,10,3,7,14,25,38,0,280,359,78.0,5637,1806,72,89,80.9,181,205,88.3,25,50,50.0,0,0.2,0.3,-0.2,3,10,4,2,15,458,51,243,170,47,9,458,5,3,60.0,2,40.0,1207,646,5,1,6,3,260,9,9,0.90,7,1,0,0,0,1,0,0.00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Serie A,2025
11,Albert Guðmundsson,IS,FW,MF,Fiorentina,27.0,1997.0,24,16,1273,14.1,6,0.42,1,0.07,7,0.49,4,0.28,2,2,2,0,4.5,2.9,1.8,4.8,35,37,59,6,0.42,1,0.07,7,0.49,4,0.28,0.35,0.42,0.07,0.49,0.28,0.35,0.32,0.13,0.45,0.21,0.34,9,5,2,4,3,7,17,41.2,10,5,0,5,6,15,9,1,415,500,83.0,5921,1164,226,243,93.0,147,175,84.0,14,32,43.8,1,1.8,1.0,-0.8,15,34,2,0,37,624,9,79,332,220,32,622,27,15,55.6,6,22.2,2519,1090,27,11,29,14,466,59,39,2.76,26,2,2,5,4,0,5,0.35,3,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Serie A,2025
12,Alberto Cerri,IT,FW,FW,Como,28.0,1996.0,5,0,87,1.0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,1.0,1.0,0.0,1.0,0,0,11,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.05,0.00,1.05,1.05,1.05,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,15,23,65.2,184,7,10,16,62.5,2,4,50.0,1,1,100.0,0,0.0,0.1,0.0,0,0,0,0,0,36,1,4,12,21,9,36,0,0,0,0,0,54,10,0,1,2,3,29,11,1,1.03,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Serie A,2025
13,Alberto Dossena,IT,DF,DF,Como,25.0,1998.0,23,20,1825,20.3,0,0.00,2,0.10,2,0.10,0,0.00,0,0,1,1,0.8,0.8,0.7,1.5,4,36,1,0,0.00,2,0.10,2,0.10,0,0.00,0.10,0.00,0.10,0.10,0.00,0.10,0.04,0.03,0.07,0.04,0.07,33,20,23,8,2,16,28,57.1,12,22,11,11,22,55,89,1,894,1020,87.6,16693,5441,310,336,92.3,507,547,92.7,65,110,59.1,2,0.7,0.4,+1.3,5,33,1,0,36,1220,173,677,517,31,20,1220,6,4,66.7,2,33.3,2716,1465,1,0,8,3,776,1,11,0.54,9,0,1,1,0,0,2,0.10,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Serie A,2025
14,Alberto Grassi,IT,MF,MF,Empoli,29.0,1995.0,28,27,2203,24.5,1,0.04,0,0.00,1,0.04,1,0.04,0,0,8,0,1.0,1.0,0.8,1.9,18,74,24,1,0.04,0,0.00,1,0.04,1,0.04,0.04,0.04,0.00,0.04,0.04,0.04,0.04,0.03,0.08,0.04,0.08,39,21,16,18,5,14,22,63.6,8,22,12,10,33,72,43,1,634,850,74.6,10794,3479,261,320,81.6,314,388,80.9,40,91,44.0,0,0.8,0.7,-0.8,7,65,7,0,74,1058,67,290,615,166,26,1058,12,5,41.7,6,50.0,2181,847,12,1,26,18,542,24,27,1.10,21,0,0,2,3,1,2,0.08,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Serie A,2025
15,Alberto Manzoni,IT,MF,MF,Atalanta,19.0,2005.0,1,0,6,0.1,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.00,0.94,0.94,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,91.7,196,29,5,6,83.3,6,6,100.0,0,0,0,0,0.0,0.0,0.0,0,4,0,0,0,14,0,3,10,1,0,14,0,0,0,0,0,25,12,0,0,0,0,13,0,1,15.00,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Serie A,2025
16,Alberto Moreno,ES,DF,DF,Como,32.0,1992.0,24,21,1727,19.2,0,0.00,0,0.00,0,0.00,0,0.00,0,0,4,0,0.4,0.4,1.2,1.6,23,81,58,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08,25,11,17,8,0,12,26,46.2,14,12,3,9,14,39,40,2,893,1082,82.5,15712,5538,383,420,91.2,417,475,87.8,76,140,54.3,0,1.2,1.6,-1.2,19,63,23,12,81,1224,58,391,563,283,17,1224,7,3,42.9,3,42.9,3027,1350,30,4,18,3,805,58,36,1.88,32,3,0,1,0,0,2,0.10,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Serie A,2025
17,Alberto Paleari,IT,GK,-,Torino,31.0,1992.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,90.0,3.0,3.0,7.0,4.0,57.1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.1,0,0.0,0.0,0.0,2.2,0.32,-0.8,-0.77,8.0,12,6,66.7,26.0,5.0,34.6,50.0,31.0,42.0,12,6,34.6,50.0,31.0,42.0,12.0,0.0,0.0,5.0,5.0,27.3,Serie A,2025
18,Alberto Paleari,IT,GK,GK,Torino,31.0,1992.0,1,1,90,1.0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,28,32,87.5,826,650,10,10,100.0,6,6,100.0,12,16,75.0,0,0.0,0.0,0.0,0,0,0,0,0,37,29,37,0,0,0,37,0,0,0,0,0,111,65,0,0,0,0,15,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Serie A,2025
19,Alberto costa,PT,DF,DF,Juventus,20.0,2003.0,9,3,357,4.0,0,0.00,1,0.25,1,0.25,0,0.00,0,0,3,0,0.6,0.6,0.2,0.8,8,8,25,0,0.00,1,0.25,1,0.25,0,0.00,0.25,0.00,0.25,0.25,0.00,0.25,0.15,0.05,0.20,0.15,0.20,14,10,7,5,2,7,9,77.8,2,5,1,4,4,18,14,0,176,212,83.0,2472,679,111,121,91.7,54,64,84.4,4,11,36.4,1,0.2,0.1,+0.8,2,7,1,0,8,276,13,81,113,85,14,276,11,4,36.4,6,54.5,692,407,6,3,9,0,170,25,7,1.76,4,0,1,2,0,0,1,0.25,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Serie A,2025
