Player,BirthYear,transfermarkt_player_id
Bertuğ Yıldırım,2002,
Beto,1998,
Billy Gilmour,2001,
Billy Ketkeophomphone,1990,
Birger Meling,1994,
Birger Verstraete,1994,
Björn Engels,1994,
Blaise Matuidi,1987,
Bobby Clark,2005,
Bobby De Cordova-Reid,1993,
Bobby Wood,1992,
Borja Bastón,1992,
Borja Iglesias,1993,
Borja Mayoral,1997,
Borja Sainz,2001,
Borja Valero,1985,
Borna Sosa,1998,
Bosko Sutalo,2000,
Boubacar Kamara,1999,
Boubacar Traoré,2001,
Boubakary Soumaré,1999,
Boulaye Dia,1996,
Bradley Barcola,2002,
Bradley Locko,2002,
Brahim Díaz,1999,
Brais Méndez,1997,
Brajan Gruda,2004,
Branco van den Boomen,1995,
Brandon Soppy,2002,
Brandon Williams,2000,
Breel Embolo,1997,
Brenden Aaronson,2000,
Brian Brobbey,2002,
Brian Oliván,1994,
Brice Samba,1994,
Bruma,1994,
Bruno Amione,2002,
Bruno Ecuele Manga,1988,
Bruno Gaspar,1993,
Bruno González,1990,
Bruno Jordão,1998,
Bruno Peres,1990,
Bryan Cristante,1995,
Bryan Dabo,1992,
Bryan Gil,2001,
Bryan Reynolds,2001,
Bryan Zaragoza,2001,
Caiuby,1988,
Caleb Okoli,2001,
Callum Hudson-Odoi,2000,
Callum Robinson,1995,
Callum Wilson,1992,
Calum Chambers,1995,
Calvin Stengs,1998,
Cameron Archer,2001,
Carles Aleñá,1998,
Carles Pérez,1998,
Carlos Alcaraz,2002,
Carlos Augusto,1999,
Carlos Bacca,1986,
Carlos Clerc,1992,
Carlos Fernández,1996,
Carlos Soler,1997,
Carlos Vinícius,1995,
Carney Chukwuemeka,2003,
Casemiro,1992,
Casimir Ninga,1993,
Castello Lukeba,2002,
Cedric Teuchert,1997,
Cengiz Ünder,1997,
Cenk Tosun,1991,
Cenk Özkacar,2000,
Cesare Casadei,2003,
Cesc Fàbregas,1987,
Chadrac Akolo,1995,
Chancel Mbemba,1994,
Charalampos Lykogiannis,1993,
Charles De Ketelaere,2001,
Charlie Austin,1989,
Charlie Taylor,1993,
Charly Musonda Jr.,1996,
Cheick Doucouré,2000,
Cheick Timite,1997,
Cheikh M'Bengue,1988,
