Player,BirthYear,transfermarkt_player_id
Kévin Théophile-Catherine,1989,
Kévin Zohi,1996,
Lamine Camara,2004,
Lamine Koné,1989,
Landry Dimata,1997,
Lassana Coulibaly,1996,
Laurent Koscielny,1985,
Leander Dendoncker,1995,
Leandro Castán,1986,
Leandro Paredes,1994,
Lee Buchanan,2001,
Lee Grant,1983,
Leny Yoro,2005,
Leon Bailey,1997,
Leon Balogun,1988,
Leon Goretzka,1995,
Leonardo Balerdi,1999,
Leonardo Bittencourt,1993,
Leonardo Bonucci,1987,
Leonardo Spinazzola,1993,
Leonardo Ulloa,1986,
Leroy Sané,1996,
Lesley Ugochukwu,2004,
Lewis Baker,1995,
Lewis Dobbin,2003,
Lewis Hall,2004,
Lewis O'Brien,1998,
Lilian Brassier,1999,
Linus Gechter,2004,
Lionel Carole,1991,
Lionel Messi,1987,
Lisandro López,1989,
Lisandro Magallán,1993,
Lloyd Kelly,1998,
Loren Morón,1993,
Lorenzo Colombo,2002,
Lorenzo Crisetig,1993,
Lorenzo De Silvestri,1988,
Lorenzo Insigne,1991,
Lorenzo Montipò,1996,
Lorenzo Tonelli,1990,
Lorenzo Venuti,1995,
Loris Karius,1993,
Louis Schaub,1994,
Loum Tchaouna,2003,
Lovro Majer,1998,
Lovro Zvonarek,2005,
Loïc Rémy,1987,
Loïs Openda,2000,
Luca Antei,1992,
Luca Antonelli,1987,
Luca D'Andrea,2004,
Luca Kilian,1999,
Luca Koleosho,2004,
Luca Mazzitelli,1995,
Luca Netz,2003,
Luca Pellegrini,1999,
Luca Rizzo,1992,
Luca Waldschmidt,1996,
Luca Zidane,1998,
Lucas Alario,1992,
Lucas Biglia,1986,
Lucas Boyé,1996,
Lucas Castro,1989,
Lucas Da Cunha,2001,
Lucas Deaux,1988,
Lucas Digne,1993,
Lucas Evangelista,1995,
Lucas Gourna-Douath,2003,
Lucas Hernández,1996,
Lucas Lima,1991,
Lucas Moura,1992,
Lucas Ocampos,1994,
Lucas Olaza,1994,
Lucas Paquetá,1997,
Lucas Perrin,1998,
Lucas Pérez,1988,
Lucas Ribeiro,1999,
Lucas Torreira,1996,
Lucas Torró,1994,
Lucas Tousart,1997,
Luciano Vietto,1993,
Ludovic Ajorque,1994,
Ludovic Blas,1997,
Ludwig Augustinsson,1994,
Luis Alberto,1992,
Luis Henrique,2001,
Luis Milla,1994,
Luis Muriel,1991,
Luis Rioja,1993,
Luis Sinisterra,1999,
Luis Suárez,1987,
Luiz Araújo,1996,
Luiz Felipe,1997,
Luka Jović,1997,
Luka Romero,2004,
Lukas Klünter,1996,
Lukas Lerager,1993,
Luke Freeman,1992,
Luuk de Jong,1990,
Luís Maximiano,1999,
Lyanco,1997,
Lyle Foster,2000,
Lys Mousset,1996,
László Bénes,1997,
Léo Baptistão,1992,
Léo Bonatini,1994,
Léo Lacroix,1992,
Léo Sena,1995,
M'Bala Nzola,1996,
M'Baye Niang,1994,
Mads Bech Sørensen,1999,
Mads Roerslev,1999,
Mahdi Camara,1998,
Mahmoud Dahoud,1996,
Malang Sarr,1999,
Malcolm Ebiowei,2003,
Malcom,1997,
Mamadou Coulibaly,2004,
Mamadou Coulibaly,1999,
Mamadou Fofana,1998,
Manor Solomon,1999,
Manu García,1986,
Manu García,1998,
Manu Koné,2001,
Manu Morlanes,1999,
Manu Sánchez,2000,
Manu Vallejo,1997,
Manuel Akanji,1995,
Manuel Lanzini,1993,
Manuel Lazzari,1993,
Manuel Locatelli,1998,
Marash Kumbulla,2000,
Marc Cardona,1995,
Marc Cucurella,1998,
Marc Navarro,1995,
Marc Roca,1996,
Marcel Halstenberg,1991,
Marcel Hartel,1996,
Marcel Sabitzer,1994,
Marcel Tisserand,1993,
Marcello Trotta,1992,
Marcelo,1987,
Marcelo,1988,
Marcelo Brozović,1992,
Marco Asensio,1996,
Marco Benassi,1994,
Marco Brescianini,2000,
Marco D'Alessandro,1991,
Marco Fabián,1989,
Marco John,2002,
Marco Pellegrino,2002,
Marco Reus,1989,
Marco Richter,1997,
Marco Silvestri,1991,
Marco Sportiello,1992,
Marco Tumminello,1998,
Marco Verratti,1992,
Marcos Acuña,1991,
Marcos Alonso,1990,
Marcos André,1996,
Marcos Antônio,2000,
Marcos Llorente,1995,
Marcos Rojo,1990,
Marcus Coco,1996,
Marcus Forss,1999,
Marcus Ingvartsen,1996,
Marcus Pedersen,2000,
Marcus Thuram,1997,
Mario Balotelli,1990,
Mario Gaspar,1990,
Mario Gila,2000,
Mario Götze,1992,
Mario Hermoso,1995,
Mario Lemina,1993,
Mario Mandžukić,1986,
Marius Bülter,1993,
Marius Wolf,1995,
Mark Flekken,1993,
Mark Uth,1991,
Marko Grujić,1996,
Marko Pjaca,1995,
Marko Rog,1995,
Markus Schubert,1998,
Markus Suttner,1987,
Marley Aké,2001,
Marlon,1995,
Marouane Fellaini,1987,
Marquinhos,2003,
Marquinhos,1994,
Martin Braithwaite,1991,
Martin Harnik,1987,
Martin Hinteregger,1992,
Martin Hongla,1998,
Martin Terrier,1997,
Martin Ødegaard,1998,
Martín Cáceres,1987,
Martín Merquelanz,1995,
Martín Montoya,1991,
Marvelous Nakamba,1994,
Marvin Friedrich,1995,
Marvin Zeegelaar,1990,
Marwin Hitz,1987,
Masaya Okugawa,1996,
Mason Greenwood,2001,
Mason Holgate,1996,
Mason Mount,1999,
Mateo Klimowicz,2000,
Mateo Retegui,1999,
Mateusz Wieteska,1997,
Matheus Cunha,1999,
Mathew Ryan,1992,
Mathias Autret,1991,
Mathias Jensen,1996,
Mathias Pereira Lage,1996,
Mathieu Dossevi,1988,
Mathieu Michel,1991,
Mathías Olivera,1997,
Matija Nastasić,1993,
Mats Hummels,1988,
Matt Doherty,1992,
Matt Targett,1995,
Matt Turner,1994,
Matteo Cancellieri,2002,
Matteo Darmian,1989,
Matteo Lovato,2000,
Matteo Pessina,1997,
Matteo Politano,1993,
Matteo Ricci,1994,
Matteo Ruggeri,2002,
Matthew Hoppe,2001,
Matthias Ginter,1994,
Matthijs de Ligt,1999,
Matthis Abline,2003,
Mattia Bani,1993,
Mattia Caldara,1994,
Mattia Destro,1991,
Mattia Perin,1992,
Mattia Valoti,1993,
Mattia Viti,2002,
Mattia Zaccagni,1995,
Mattias Svanberg,1999,
Matty James,1991,
Mattéo Guendouzi,1999,
Matías Vecino,1991,
Matías Viña,1997,
Mauro Icardi,1993,
Max Gradel,1987,
Max Kruse,1988,
Max Meyer,1995,
Maxence Lacroix,2000,
Maxi Gómez,1996,
Maxim Leitsch,1998,
Maxime Busi,1999,
Maxime Dupé,1993,
Maxime Estève,2002,
Maxime Gonalons,1989,
Maxime Le Marchand,1989,
Maxime Lopez,1997,
Maximilian Beier,2002,
Maximilian Eggestein,1996,
Maximilian Mittelstädt,1997,
Maximilian Philipp,1994,
Maximilian Wöber,1998,
Maximiliano Caufriez,1997,
Maxwel Cornet,1996,
Maya Yoshida,1988,
Mehdi Abeid,1992,
Mehdi Bourabia,1991,
Mehdi Léris,1998,
Melvin Bard,2000,
Mergim Berisha,1998,
Merih Demiral,1998,
Mesut Özil,1988,
Mexer,1988,
Michael Folorunsho,1998,
Michael Gregoritsch,1994,
Michael Kayode,2004,
Michael Lang,1991,
Michael Obafemi,2000,
Michael Olise,2001,
Michel Aebischer,1997,
Michele Di Gregorio,1997,
Michy Batshuayi,1993,
Micky van de Ven,2001,
Miguel Almirón,1994,
Miguel Baeza,2000,
Miguel Gutiérrez,2001,
Miguel Layún,1988,
Mike Maignan,1995,
Mikel Merino,1996,
Mikel Vesga,1993,
Mikkel Damsgaard,2000,
Mikkel Desler,1995,
Mikkel Kaufmann,2001,
Milan Badelj,1989,
Milan Škriniar,1995,
Milot Rashica,1996,
Miralem Pjanić,1990,
Miranda,1984,
Mitchel Bakker,2000,
Mitchell Weiser,1994,
Modibo Sagnan,1999,
Mohamed Camara,2000,
Mohamed Diamé,1987,
Mohamed Dräger,1996,
Mohamed Elyounoussi,1994,
Mohamed Simakan,2000,
Mohammed Salisu,1999,
Moi Gómez,1994,
Moise Kean,2000,
Moisés Caicedo,2001,
Monchu,1999,
Morgan Gibbs-White,2000,
Morgan Guilavogui,1998,
Morgan Sanson,1994,
Morgan Schneiderlin,1989,
Moritz Jenz,1999,
Morten Hjulmand,1999,
Morten Thorsby,1996,
Moses Simon,1995,
Mostafa Mohamed,1997,
Mouctar Diakhaby,1996,
Moussa Dembélé,1996,
Moussa Diaby,1999,
Moussa Konaté,1993,
Moussa Sissoko,1989,
Moussa Sylla,1999,
Moussa Wagué,1998,
Munir El Haddadi,1995,
Musa Barrow,1998,
Musa Juwara,2001,
Myron Boadu,2001,
Myziane Maolida,1999,
Máximo Perrone,2003,
N'Golo Kanté,1991,
Nabil Bentaleb,1994,
Nabil El Zhar,1986,
Nabil Fekir,1993,
Naby Keïta,1995,
Nacer Chadli,1989,
Nadiem Amiri,1996,
Nadir Zortea,1999,
Nahitan Nández,1995,
Nahki Wells,1990,
Nahuel Molina,1998,
Naldo,1988,
Naldo,1982,
Nani,1986,
Naouirou Ahamada,2002,
Natan,2001,
Nathan Aké,1995,
Nathan Collins,2001,
Nathan Redmond,1994,
Nayef Aguerd,1996,
Naïm Sliti,1992,
Neal Maupay,1996,
Neco Williams,2001,
Nedim Bajrami,1999,
Nehuén Pérez,2000,
Nemanja Radonjić,1996,
Neto,1989,
Neymar,1992,
Nick Pope,1992,
Nick Woltemade,2002,
Niclas Füllkrug,1993,
Nico Schlotterbeck,1999,
Nico Schulz,1993,
Nicola Murru,1994,
Nicola Sansone,1991,
Nicolas Cozza,1999,
Nicolas Jackson,2001,
Nicolas Pépé,1995,
Nicolas de Préville,1991,
Nicolás Domínguez,1998,
Nicolás Otamendi,1988,
Nicolò Barella,1997,
Nicolò Cambiaghi,2000,
Nicolò Casale,1998,
Nicolò Rovella,2001,
Nicolò Zaniolo,1999,
Niels Nkounkou,2000,
Niklas Schmidt,1998,
Niklas Stark,1995,
Niklas Süle,1995,
Niko Gießelmann,1991,
Nikola Kalinić,1988,
Nikola Maksimović,1991,
Nikola Milenković,1997,
Nikola Moro,1998,
Nikola Vlašić,1997,
Noah Katterbach,2001,
Noah Weißhaupt,2001,
Nolan Roux,1988,
Nordi Mukiele,1997,
Nordin Amrabat,1987,
Noussair Mazraoui,1997,
Nuno Mendes,2002,
Nuno Tavares,2000,
Nuri Şahin,1988,
Nélson Semedo,1993,
Odilon Kossounou,2001,
Odysseas Vlachodimos,1994,
Oier Olazábal,1989,
Oier Zarraga,1999,
Okay Yokuşlu,1994,
Ola Aina,1996,
Ola Solbakken,1998,
Olarenwaju Kayode,1993,
Oleksandr Zinchenko,1996,
Oliver Burke,1997,
Oliver Christensen,1999,
Oliver Skipp,2000,
Olivier Boscagli,1997,
Olivier Giroud,1986,
Omar Alderete,1996,
Omar Marmoush,1999,
Omar Mascarell,1993,
Omar Richards,1998,
Ondrej Duda,1994,
Orbelín Pineda,1996,
Orel Mangala,1998,
Orestis Karnezis,1985,
Oriol Romeu,1991,
Oscar Hiljemark,1992,
Ousmane Dembélé,1997,
Oussama Haddadi,1992,
Oussama Idrissi,1996,
Oussama Tannane,1994,
Owen Otasowie,2001,
Ozan Kabak,2000,
Pablo Chavarría,1988,
Pablo Fornals,1996,
Pablo Hernández,1986,
Pablo Maffeo,1997,
Pablo Marí,1993,
Pablo Piatti,1989,
Pablo Sarabia,1992,
Pablo Torre,2003,
Pablo de Blasis,1988,
Paco Alcácer,1993,
Panagiotis Retsos,1998,
Pantelis Hatzidiakos,1997,
Paolo Faragò,1993,
Paolo Ghiglione,1997,
Papa Ndiaga Yade,2000,
Pape Gueye,1999,
Pascal Groß,1991,
Patrick Cutrone,1998,
Patrick Osterhage,2000,
Patrick Roberts,1997,
Patrick Wimmer,2001,
Patrick van Aanholt,1990,
Patrik Schick,1996,
Pau López,1994,
Pau Torres,1997,
Paul Akouokou,1997,
Paul Baysse,1988,
Paul Bernardoni,1997,
Paul Lasne,1989,
Paul Nardi,1994,
Paul Pogba,1993,
Paul Seguin,1995,
Paulinho,1988,
Paulinho,2000,
Paulo Dybala,1993,
Paulo Gazzaniga,1992,
Paulo Otávio,1994,
Paxten Aaronson,2003,
Pedro,1987,
Pedro Neto,2000,
Pedro Obiang,1992,
Pedro Porro,1999,
Pelé,1991,
Per Ciljan Skjelbred,1987,
Percy Tau,1994,
Pere Pons,1993,
Peru Nolaskoain,1998,
Pervis Estupiñán,1998,
Petar Stojanović,1995,
Philip Billing,1996,
Philipp Förster,1995,
Philipp Max,1993,
Philippe Coutinho,1992,
Pierluigi Gollini,1995,
Pierre Kalulu,2000,
Pierre Kunde,1995,
Pierre Lees-Melou,1993,
Pierre-Emerick Aubameyang,1989,
Pietro Ceccaroni,1995,
Pietro Iemmello,1992,
Pietro Pellegri,2001,
Pione Sisto,1995,
Piotr Zieliński,1994,
Pol Lirola,1997,
Pontus Almqvist,1999,
Pontus Jansson,1991,
Portu,1992,
Predrag Rajković,1995,
Prince Oniangué,1988,
Quentin Boisgard,1997,
Quincy Promes,1992,
Rachid Alioui,1992,
Rachid Ghezzal,1992,
Racine Coly,1995,
Radamel Falcao,1986,
Radja Nainggolan,1988,
Radu Drăgușin,2002,
Rafa Marín,2002,
Rafa Mir,1997,
Rafael,1982,
Rafael,1990,
Rafael Borré,1995,
Rafael Leão,1999,
Rafael Ratão,1995,
Rafinha,1993,
Rafinha,1985,
Ragnar Klavan,1985,
Raheem Sterling,1994,
Ralf Fährmann,1988,
Ramadan Sobhi,1997,
Raman Chibsah,1993,
Ramiro Funes Mori,1991,
Ramy Bensebaini,1995,
Ramón Terrats,2000,
Randal Kolo Muani,1998,
Rani Khedira,1994,
Raoul Bellanova,2000,
Raphaël Guerreiro,1993,
Raphaël Varane,1993,
Raphinha,1996,
Rasmus Højlund,2003,
Rasmus Kristensen,1997,
Rayan Aït-Nouri,2001,
Raúl Albiol,1985,
Raúl Bobadilla,1987,
Raúl Jiménez,1991,
Raúl Moro,2002,
Raúl Navas,1988,
Raúl de Tomás,1994,
Recio,1991,
Reda Belahyane,2004,
Reece Oxford,1998,
Reinier,2002,
Reinildo Mandava,1994,
Remo Freuler,1992,
Renan Lodi,1998,
Renato Sanches,1997,
Renato Steffen,1991,
Renato Tapia,1995,
Renaud Ripart,1993,
Ricardo Pepi,2003,
Ricardo Rodríguez,1992,
Riccardo Calafiori,2002,
Riccardo Ciervo,2002,
Riccardo Gagliolo,1990,
Riccardo Pagano,2004,
Riccardo Saponara,1991,
Riccardo Sottil,1999,
Richarlison,1997,
Rick Karsdorp,1995,
Ridle Baku,1998,
Riechedly Bazoer,1996,
Riqui Puig,1999,
Riyad Mahrez,1991,
Riza Durmisi,1994,
Rob Holding,1995,
Robert Andrich,1994,
Robert Bauer,1995,
Robert Lewandowski,1988,
Robert Snodgrass,1987,
Robert Sánchez,1997,
Roberto Firmino,1991,
Roberto Gagliardini,1994,
Roberto Inglese,1991,
Roberto Pereyra,1991,
Roberto Piccoli,2001,
Roberto Rosales,1988,
Roberto Soriano,1991,
Roberto Torres,1989,
Robin Gosens,1994,
Robin Knoche,1992,
Robin Koch,1996,
Robin Le Normand,1996,
Robin Olsen,1990,
Robin Quaison,1993,
Robson Bambu,1997,
Rodri,1996,
Rodrigo,1991,
Rodrigo Battaglia,1991,
Rodrigo Becão,1996,
Rodrigo De Paul,1994,
Rodrigo Ely,1993,
Roger Assalé,1993,
Roger Martí,1991,
Roger Martínez,1994,
Rogério,1998,
Roland Sallai,1997,
Rolando Mandragora,1997,
Romain Amalfitano,1989,
Romain Del Castillo,1996,
Romain Faivre,1998,
Romain Perraud,1997,
Romain Saïss,1990,
Romelu Lukaku,1993,
Rominigue Kouamé,1996,
Roméo Lavia,2004,
Ronaël Pierre-Gabriel,1998,
Ronny Rodelin,1989,
Rony Lopes,1995,
Roque Mesa,1989,
Ross Barkley,1993,
Ruben Aguilar,1993,
Ruben Loftus-Cheek,1996,
Rubén Alcaraz,1991,
Rubén Duarte,1995,
Rubén Pardo,1992,
Rubén Peña,1991,
Rubén Rochina,1991,
Rubén Sobrino,1992,
Rui Patrício,1988,
Rui Silva,1994,
Ruslan Malinovskyi,1993,
Ryad Boudebouz,1990,
Ryan Bennett,1990,
Ryan Bertrand,1989,
Ryan Fraser,1994,
Ryan Gravenberch,2002,
Ryan Kent,1996,
Ryan Sessegnon,2000,
Rémy Cabella,1990,
Rômulo,1987,
Rúben Neves,1997,
Rúben Semedo,1994,
Rúben Vezo,1994,
Rúben Vinagre,1999,
Rúnar Alex Rúnarsson,1995,
Răzvan Marin,1996,
Sacha Boey,2000,
Sada Thioub,1995,
Sadio Mané,1992,
Saidy Janko,1995,
Salif Sané,1990,
Salih Özcan,1998,
Salis Abdul Samed,2000,
Salomon Kalou,1985,
Salomón Rondón,1989,
Salvatore Sirigu,1987,
Sam Byram,1993,
Sam Johnstone,1993,
Sam Lammers,1997,
Sam Surridge,1998,
Sami Khedira,1987,
Samu Castillejo,1995,
Samuel Bastien,1996,
Samuel Chukwueze,1999,
Samuel Gigot,1993,
Samuel Grandsir,1996,
Samuel Iling-Junior,2003,
Samuel Moutoussamy,1996,
Samuel Umtiti,1993,
Samuele Ricci,2001,
Sander Berge,1998,
Sandro,1989,
Sandro Ramírez,1995,
Sandro Tonali,2000,
Sandro Wagner,1987,
Santi Cazorla,1984,
Santi Comesaña,1996,
Santi Mina,1995,
Santiago Arias,1992,
Santiago Ascacíbar,1997,
Santiago Bueno,1998,
Santiago Cáseres,1997,
Sardar Azmoun,1995,
Sargis Adamyan,1993,
Sasa Kalajdzic,1997,
Saîf-Eddine Khaoui,1995,
Saïd Benrahma,1995,
Saúl Coco,1999,
Saúl Ñíguez,1994,
Saša Lukić,1996,
Scott Arfield,1988,
Scott Malone,1991,
Scott McKenna,1996,
Sebastiaan Bornauw,1999,
Sebastian Andersson,1991,
Sebastian Polter,1991,
Sebastian Rudy,1990,
Sebastian Walukiewicz,2000,
Sebastiano Esposito,2002,
Sebastiano Luperto,1996,
Sebastián Cristóforo,1993,
Seko Fofana,1995,
Senna Miangue,1997,
Sepp van den Berg,2001,
Serge Aurier,1992,
Sergej Milinković-Savić,1995,
Sergi Canós,1997,
Sergi Cardona,1999,
Sergi Darder,1993,
Sergi Guardiola,1991,
Sergi Gómez,1992,
Sergi Palencia,1996,
Sergi Roberto,1992,
Sergi Samper,1995,
Sergio Agüero,1988,
Sergio Akieme,1997,
Sergio Asenjo,1989,
Sergio Busquets,1988,
Sergio Canales,1991,
Sergio Córdova,1997,
Sergio Escudero,1989,
Sergio Gómez,2000,
Sergio León,1989,
Sergio Ramos,1986,
Sergio Reguilón,1996,
Sergio Rico,1993,
Sergiño Dest,2000,
Serhou Guirassy,1996,
Shandon Baptiste,1998,
Shane Duffy,1992,
Sheyi Ojo,1997,
Shinji Kagawa,1989,
Shinji Okazaki,1986,
Shon Weissman,1996,
Sidnei,1989,
Silvan Hefti,1997,
Silvan Widmer,1993,
Simon Banza,1996,
Simon Falette,1992,
Simon Terodde,1988,
Simone Bastoni,1996,
Simone Missiroli,1986,
Simone Romagnoli,1990,
Simone Verdi,1992,
Simone Zaza,1991,
Sinan Gümüş,1994,
Skelly Alvero,2002,
Sofian Kiyine,1997,
Sofiane Alakouch,1998,
Sofiane Boufal,1993,
Sofiane Diop,2000,
Sofyan Amrabat,1996,
Sokratis Papastathopoulos,1988,
Somália,1988,
Sory Kaba,1995,
Soualiho Meïté,1994,
Souleyman Doumbia,1996,
Steeve Yago,1992,
Stefan Bajcetic,2004,
Stefan Ilsanker,1989,
Stefan Ortega,1992,
Stefan Posch,1997,
Stefan de Vrij,1992,
Stefano Denswil,1993,
Stefano Okaka,1989,
Stefano Sensi,1995,
Stefano Sturaro,1993,
Stefano Turati,2001,
Stephan Lichtsteiner,1984,
Stephane Omeonga,1996,
Stephen Ward,1985,
Stephy Mavididi,1998,
Stevan Jovetić,1989,
Steve Mounié,1994,
Steven Alzate,1998,
Steven Bergwijn,1997,
Steven Davis,1985,
Steven Defour,1988,
Steven Nzonzi,1988,
Steven Zuber,1991,
Stijn Spierings,1996,
Stipe Perica,1995,
Stole Dimitrievski,1993,
Strahinja Pavlović,2001,
Stéphane Bahoken,1992,
Stéphane Diarra,1998,
Suat Serdar,1997,
Suleiman Abdullahi,1996,
Suso,1993,
Sven Botman,2000,
Szymon Żurkowski,1997,
Sébastien Corchia,1990,
Sébastien Haller,1994,
Tahith Chong,1999,
Taiwo Awoniyi,1997,
Tajon Buchanan,1999,
Takashi Inui,1988,
Takefusa Kubo,2001,
Takuma Asano,1994,
Takumi Minamino,1995,
Tammy Abraham,1997,
Tanguy Nianzou,2002,
Terem Moffi,1999,
Terence Kongolo,1994,
Teun Koopmeiners,1998,
Theo Hernández,1997,
Theo Walcott,1989,
Thiago Alcántara,1991,
Thiago Mendes,1992,
Thiago Silva,1984,
Thibaut Courtois,1992,
Thierry Ambrose,1997,
Thijs Dallinga,2000,
Thilo Kehrer,1996,
Thomas Delaine,1992,
Thomas Delaney,1991,
Thomas Foket,1994,
Thomas Henry,1994,
Thomas Heurtaux,1988,
Thomas Lemar,1995,
Thomas Meunier,1991,
Thomas Monconduit,1991,
Thomas Strakosha,1995,
Thomas Vermaelen,1985,
Thorgan Hazard,1993,
Théo Pellenard,1994,
Tiago Djaló,2000,
Tiago Tomás,2002,
Tiemoué Bakayoko,1994,
Tijjani Noslin,1999,
Tim Kleindienst,1995,
Timo Letschert,1993,
Timo Werner,1996,
Timothy Castagne,1995,
Timothy Fosu-Mensah,1998,
Timothy Weah,2000,
Tin Jedvaj,1995,
Tino Kadewere,1996,
Tobias Strobl,1990,
Toby Alderweireld,1989,
Tom Davies,1998,
Tom Heaton,1986,
Tom Ince,1992,
Tom Krauß,2001,
Tom Rothe,2004,
Toma Bašić,1996,
Tomer Hemed,1987,
Tommaso Augello,1994,
Tommaso Baldanzi,2003,
Tommaso Pobega,1999,
Tomás Rincón,1988,
Tomáš Souček,1995,
Tomáš Vaclík,1989,
Toni Lato,1997,
Tonny Vilhena,1995,
Tony Mauricio,1994,
Tosin Adarabioyo,1997,
Trevoh Chalobah,1999,
Tyler Adams,1999,
Tyler Roberts,1999,
Tyrone Mings,1993,
Téji Savanier,1991,
Umut Bozok,1996,
Unai López,1995,
Unai Núñez,1997,
Valentin Rosier,1996,
Valentino Lazaro,1996,
Valentín Barco,2004,
Valentín Vada,1996,
Valerio Verre,1994,
Valery Fernández,1999,
Valon Berisha,1993,
Valère Germain,1990,
Vasyl Kravets,1997,
Vedat Muriqi,1994,
Vicente Guaita,1987,
Vicente Iborra,1988,
Victor Moses,1990,
Victor Osimhen,1998,
Victor Sá,1994,
Victorien Angban,1996,
Vid Belec,1990,
Vincent Kompany,1986,
Vincent Pajot,1990,
Vincenzo Grifo,1993,
Vincenzo Millico,2000,
Vitinha,2000,
Vitolo,1989,
Vitor Hugo,1991,
Vitor Roque,2005,
Vlad Chiricheș,1989,
Víctor Camarasa,1994,
Víctor Ruiz,1989,
Wahbi Khazri,1991,
Wahid Faghir,2003,
Walace,1995,
Waldemar Anton,1996,
Walid Cheddira,1998,
Wallace,1994,
Walter Benítez,1993,
Warmed Omari,2000,
Warren Bondo,2003,
Wataru Endo,1993,
Wayne Rooney,1985,
Wendell,1993,
Wesley Hoedt,1994,
Wesley Saïd,1995,
Weston McKennie,1998,
Wilfried Singo,2000,
Wilfried Zaha,1992,
Willem Geubbels,2001,
William,1995,
William Osula,2003,
William Saliba,2001,
William Troost-Ekong,1993,
Willian,1988,
Willian José,1991,
Willian Pacho,2001,
Willy Boly,1991,
Willy Kambwala,2004,
Wilson Odobert,2004,
Wissam Ben Yedder,1990,
Wladimiro Falcone,1995,
Wout Weghorst,1992,
Wylan Cyprien,1995,
Xaver Schlager,1997,
Xavi Quintillà,1996,
Xavi Simons,2003,
Xavier Chavalerin,1991,
Xherdan Shaqiri,1991,
Ximo Navarro,1990,
Yacine Adli,2000,
Yacine Bammou,1991,
Yan Couto,2002,
Yangel Herrera,1998,
Yann Bodiger,1995,
Yann Gboho,2001,
Yann Karamoh,1998,
Yann M'Vila,1990,
Yann Sommer,1988,
Yannick Bolasie,1989,
Yannick Carrasco,1993,
Yannik Keitel,2000,
Yannis Salibur,1991,
Yasin Ayari,2003,
Yasser Larouci,2001,
Yassine Benrahou,1999,
Yaya Touré,1983,
Yerry Mina,1994,
Yoane Wissa,1996,
Yoann Court,1990,
Yoann Gourcuff,1986,
Yohan Cabaye,1986,
Yorbe Vertessen,2001,
Youri Tielemans,1997,
Youssef Aït Bennasser,1996,
Youssef En-Nesyri,1997,
Youssef Maleh,1998,
Youssouf Fofana,1999,
Youssouf Koné,1995,
Youssouf Sabaly,1993,
Youssoufa Moukoko,2004,
Yunus Mallı,1992,
Yunus Musah,2002,
Yuri Berchiche,1990,
Yusuf Yazıcı,1997,
Yuto Nagatomo,1986,
Yuya Osako,1990,
Yves Bissouma,1996,
Yvon Mvogo,1994,
Zack Steffen,1995,
Zakaria Bakkali,1996,
Zaydou Youssouf,1999,
Zeki Çelik,1997,
Zinho Vanheusden,1999,
Zouhair Feddal,1989,
Ádám Nagy,1995,
Ádám Szalai,1987,
Álex Berenguer,1995,
Álex Collado,1999,
Álex Moreno,1993,
Álvaro Carreras,2003,
Álvaro Fernández,1998,
Álvaro González,1990,
Álvaro Medrán,1994,
Álvaro Morata,1992,
Álvaro Odriozola,1995,
Álvaro Vadillo,1994,
Ángel Di María,1988,
Ángel Rodríguez,1987,
Ângelo,2004,
Çağlar Söyüncü,1996,
Éder,1986,
Éderson,1999,
Étienne Capoue,1988,
Éver Banega,1988,
Óliver Torres,1994,
Óscar Melendo,1997,
Óscar Mingueza,1999,
Ömer Toprak,1989,
İlkay Gündoğan,1990,
Aaron Connolly,,434207
Aaron Hickey,,591949
Aaron Leya Iseka,,289587
Aaron Mooy,,123951
Aaron Ramsdale,,427568
Aaron Ramsey,,50057
Aaron Wan-Bissaka,,477758
Aarón Martín,,251878
Abdallah Sima,,776798
Abde Ezzalzouli,,724520
Abdelhamid Sabiri,,340394
Abdou Diallo,,229005
Abdou Harroui,,416386
Abdoulaye Doucouré,,127187
Abdoulaye Touré,,181382
Abdukodir Khusanov,,763079
Abner,,
Achraf Hakimi,,398073
Adam Lallana,,43530
Adam Masina,,286949
Adam Ounas,,400485
Adama Diakhaby,,453594
Adama Soumaoro,,126673
Adama Traoré,,204103
Ademola Lookman,,406040
Adil Aouchiche,,569385
Adil Rami,,51118
Adnan Januzaj,,177847
Adrien Rabiot,,182913
Adrien Silva,,56810
Adrien Thomasson,,215977
Adrià Pedrosa,,501418
Afriyie Acquah,,145581
Agustín Álvarez,,
Ahmed Kutucu,,452084
Ainsley Maitland-Niles,,285845
Aitor Fernández,,
Akim Zedadka,,327863
Alan Virginius,,654415
Alassane Pléa,,167329
Alban Lafont,,357117
Albert Sambi Lokonga,,381967
Alberto Dossena,,385394
Alberto Grassi,,197473
Alberto Moreno,,207917
Alberto Paleari,,163048
Albin Ekdal,,49275
Aleix García,,261504
Aleix Vidal,,88490
Aleksandar Kolarov,,46156
