Player,BirthYear,transfermarkt_player_id,rumor_count,rumor_prob_max,rumor_prob_mean,rumor_first,rumor_last,leagues_mentioned
Ante Rebić,1993.0,,,,,,,
Anthony Caci,1997.0,,,,,,,
Anthony Elanga,2002.0,,,,,,,
Anthony Gordon,2001.0,,,,,,,
Anthony Knockaert,1991.0,,,,,,,
Anthony Limbombe,1994.0,,,,,,,
Anthony Martial,1995.0,,,,,,,
Anthony Modeste,1988.0,,,,,,,
Anthony Rouault,2001.0,,,,,,,
Anthony Ujah,1990.0,,,,,,,
Antoine Griezmann,1991.0,,,,,,,
Antoine Joujou,2003.0,,,,,,,
Antonin Bobichon,1995.0,,,,,,,
Antonino La Gumina,1996.0,,,,,,,
Antonino Ragusa,1990.0,,,,,,,
Antonio Adán,1987.0,,,,,,,
Antonio Barragán,1987.0,,,,,,,
Antonio Barreca,1995.0,,,,,,,
Antonio Blanco,2000.0,,,,,,,
Antonio Candreva,1987.0,,,,,,,
Antonio Mirante,1983.0,,,,,,,
Antonio Rüdiger,1993.0,,,,,,,
Antonio Sanabria,1996.0,,,,,,,
Antonio Valencia,1985.0,,,,,,,
Antony,2000.0,,,,,,,
Antonín Barák,1994.0,,,,,,,
Anwar El Ghazi,1995.0,,,,,,,
Arkadiusz Milik,1994.0,,,,,,,
Arkadiusz Reca,1995.0,,,,,,,
Armando Broja,2001.0,,,,,,,
Armando Izzo,1992.0,,,,,,,
Arnaud Kalimuendo,2002.0,,,,,,,
Arnaud Nordin,1998.0,,,,,,,
Arnaud Souquet,1992.0,,,,,,,
Arnaut Danjuma,1997.0,,,,,,,
Arne Engels,2003.0,,,,,,,
Arne Maier,1999.0,,,,,,,
Artem Dovbyk,1997.0,,,,,,,
Arthur Cabral,1998.0,,,,,,,
Arthur Masuaku,1993.0,,,,,,,
Arthur Melo,1996.0,,,,,,,
Arthur Theate,2000.0,,,,,,,
Arthur Vermeeren,2005.0,,,,,,,
Artur Ioniță,1990.0,,,,,,,
Arturo Calabresi,1996.0,,,,,,,
Arturo Vidal,1987.0,,,,,,,
Ashley Williams,1984.0,,,,,,,
Asier Villalibre,1997.0,,,,,,,
Assan Ceesay,1994.0,,,,,,,
Assane Dioussé,1997.0,,,,,,,
Augusto Batalla,1996.0,,,,,,,
Aurélien Tchouaméni,2000.0,,,,,,,
Aurélio Buta,1997.0,,,,,,,
Axel Disasi,1998.0,,,,,,,
Axel Tuanzebe,1997.0,,,,,,,
Axel Witsel,1989.0,,,,,,,
Aymen Barkok,1998.0,,,,,,,
Ayoze Pérez,1993.0,,,,,,,
Azor Matusiwa,1998.0,,,,,,,
Azzedine Ounahi,2000.0,,,,,,,
Aïssa Laïdouni,1996.0,,,,,,,
Aïssa Mandi,1991.0,,,,,,,
Bakary Sako,1988.0,,,,,,,
Bamba Dieng,2000.0,,,,,,,
Bamo Meïté,2001.0,,,,,,,
Baptiste Guillaume,1995.0,,,,,,,
Baptiste Reynet,1990.0,,,,,,,
Baptiste Santamaria,1995.0,,,,,,,
Bartosz Kapustka,1996.0,,,,,,,
Ben Chilwell,1996.0,,,,,,,
Ben Doak,2005.0,,,,,,,
Ben Foster,1983.0,,,,,,,
Ben Godfrey,1998.0,,,,,,,
Ben Johnson,2000.0,,,,,,,
Ben Mee,1989.0,,,,,,,
Ben Pearson,1995.0,,,,,,,
Ben White,1997.0,,,,,,,
Beni Baningime,1998.0,,,,,,,
Benik Afobe,1993.0,,,,,,,
Benito Raman,1994.0,,,,,,,
Benjamin André,1990.0,,,,,,,
Benjamin Bourigeaud,1994.0,,,,,,,
Benjamin Henrichs,1997.0,,,,,,,
Benjamin Jeannot,1992.0,,,,,,,
Benjamin Lecomte,1991.0,,,,,,,
Benjamin Pavard,1996.0,,,,,,,
Berkay Özcan,1998.0,,,,,,,
Bernard,1992.0,,,,,,,
Bernard Tekpetey,1997.0,,,,,,,
Bernardo,1995.0,,,,,,,
Bernardo Espinosa,1989.0,,,,,,,
Bernd Leno,1992.0,,,,,,,
Bertrand Traoré,1995.0,,,,,,,
Bertuğ Yıldırım,2002.0,,,,,,,
Beto,1998.0,,,,,,,
Billy Gilmour,2001.0,,,,,,,
