Model,Log Loss,Macro F1-Score,Run Time in Minutes
Logistic_Regression,1.5793589173715372,0.3432054952348153,152.19
LightGBM,1.4555518584200378,0.4196181699485077,31.92
XGBoost,1.4212238873592538,0.4434916782738578,26.03
