iter	MultiClass
0	1.786361888
1	1.78084833
2	1.772087164
3	1.76542306
4	1.760431797
5	1.755864095
6	1.750973141
7	1.746661101
8	1.742502536
9	1.737885172
10	1.731249801
11	1.725187423
12	1.719345487
13	1.714396735
14	1.709794759
15	1.706023494
16	1.700715498
17	1.696457409
18	1.689588001
19	1.683449679
20	1.679815237
21	1.673491899
22	1.667498792
23	1.664185889
24	1.66022012
25	1.656554972
26	1.651634894
27	1.648294908
28	1.644296338
29	1.640406942
30	1.636448225
31	1.630963515
32	1.626617579
33	1.623928945
34	1.620855325
35	1.617150972
36	1.613193296
37	1.609875816
38	1.605979652
39	1.601521345
40	1.597475589
41	1.594359077
42	1.590385712
43	1.58724659
44	1.583921578
45	1.579860603
46	1.575908057
47	1.573510187
48	1.570121122
49	1.567433393
50	1.564012248
51	1.560384234
52	1.55696535
53	1.552804468
54	1.550185115
55	1.547358366
56	1.544150545
57	1.540702906
58	1.537110032
59	1.534663485
60	1.531467111
61	1.52923785
62	1.525967267
63	1.523428889
64	1.520501741
65	1.517622892
66	1.514494435
67	1.511821901
68	1.509077161
69	1.50702422
70	1.503704371
71	1.50110871
72	1.498996012
73	1.496075274
74	1.493395571
75	1.490205855
76	1.48701201
77	1.484462627
78	1.48164549
79	1.478894511
80	1.476904117
81	1.474357006
82	1.472413213
83	1.47035269
84	1.467977098
85	1.466345296
86	1.464276015
87	1.461710857
88	1.459296585
89	1.456708221
90	1.454148508
91	1.451878916
92	1.449164138
93	1.446935972
94	1.444326048
95	1.441944873
96	1.440373791
97	1.438426395
98	1.436432117
99	1.433955742
100	1.43124424
101	1.429338574
102	1.427666572
103	1.425307739
104	1.422957831
105	1.420541282
106	1.418798704
107	1.416822654
108	1.414973141
109	1.413162475
110	1.410856867
111	1.408676255
112	1.406354457
113	1.403792306
114	1.401790317
115	1.39934459
116	1.397273675
117	1.395265867
118	1.393327842
119	1.390111913
120	1.387620906
121	1.385737478
122	1.384381223
123	1.381791381
124	1.379997816
125	1.377971
126	1.375540031
127	1.373179595
128	1.371367345
129	1.369322019
130	1.367437619
131	1.365454843
132	1.363689576
133	1.361940175
134	1.360336084
135	1.358190136
136	1.355939492
137	1.353696378
138	1.351612892
139	1.350112701
140	1.34849852
141	1.346902342
142	1.34521723
143	1.343067764
144	1.341077699
145	1.339275415
146	1.337956579
147	1.336012055
148	1.334628096
149	1.333213909
150	1.331250012
151	1.329344053
152	1.327494169
153	1.325780249
154	1.323770092
155	1.322022834
156	1.320241356
157	1.318066068
158	1.316573141
159	1.315206266
160	1.313351623
161	1.31156256
162	1.309902887
163	1.307999082
164	1.306682307
165	1.30457017
166	1.302868764
167	1.30122503
168	1.299325606
169	1.297622114
170	1.296119143
171	1.294893632
172	1.293115417
173	1.291877451
174	1.289736229
175	1.288345347
176	1.286689556
177	1.285107028
178	1.283965484
179	1.282448212
180	1.280550152
181	1.278984868
182	1.277987752
183	1.2768305
184	1.275145775
185	1.273333487
186	1.271147121
187	1.269055068
188	1.267429611
189	1.266117491
190	1.264554407
191	1.26326717
192	1.261706129
193	1.260420989
194	1.258882103
195	1.257387636
196	1.255532244
197	1.253753938
198	1.252551679
199	1.250877574
200	1.249466336
201	1.248196885
202	1.24663612
203	1.245432163
204	1.244077122
205	1.242805572
206	1.241502546
207	1.239764395
208	1.238188159
209	1.236752455
210	1.235377211
211	1.234432945
212	1.23289335
213	1.231942647
214	1.23051777
215	1.229328251
216	1.227919324
217	1.226301615
218	1.225011076
219	1.223492227
220	1.222422275
221	1.220992883
222	1.219793437
223	1.218658822
224	1.217463687
225	1.215870546
226	1.214288282
227	1.212971607
228	1.211694292
229	1.210808383
230	1.209174409
231	1.20796923
232	1.206604966
233	1.205067913
234	1.203703936
235	1.202042074
236	1.200727417
237	1.199471696
238	1.197678357
239	1.196829145
240	1.195741748
241	1.194468622
242	1.192930989
243	1.191682462
244	1.190239092
245	1.188798458
246	1.187249676
247	1.185975695
248	1.184436052
249	1.183337756
250	1.181973821
251	1.180650785
252	1.179030483
253	1.177854599
254	1.176537465
255	1.175001562
256	1.173830058
257	1.17248676
258	1.171175631
259	1.170083051
260	1.168886093
261	1.167489289
262	1.166519851
263	1.165049928
264	1.164046175
265	1.162817015
266	1.161466689
267	1.160044489
268	1.15902988
269	1.157884159
270	1.15652646
271	1.15517229
272	1.154021243
273	1.152522495
274	1.150899364
275	1.149586363
276	1.148418509
277	1.147210694
278	1.145921342
279	1.14424944
280	1.142862714
281	1.141678881
282	1.140434877
283	1.139390748
284	1.137916611
285	1.136701681
286	1.135413496
287	1.134101592
288	1.132603018
289	1.131141908
290	1.129560385
291	1.128164162
292	1.127066796
293	1.125435062
294	1.123766903
295	1.122140888
296	1.120750162
297	1.119032053
298	1.117650107
299	1.116173357
300	1.114855142
301	1.113725105
302	1.112599167
303	1.111171503
304	1.109905376
305	1.108641443
306	1.107410401
307	1.106168753
308	1.105605697
309	1.104293606
310	1.102506697
311	1.10135251
312	1.099552533
313	1.098381605
314	1.097150903
315	1.096038132
316	1.094709625
317	1.093322857
318	1.092054234
319	1.090906966
320	1.089367514
321	1.088080022
322	1.086899903
323	1.085580324
324	1.08459719
325	1.083639924
326	1.081808019
327	1.080697389
328	1.079230263
329	1.078095696
330	1.077140374
331	1.076036528
332	1.074248425
333	1.073311221
334	1.072118821
335	1.070830251
336	1.069439062
337	1.068139114
338	1.066612796
339	1.065593345
340	1.063985336
341	1.062837432
342	1.061691686
343	1.060151466
344	1.058477478
