iter	MultiClass
345	1.057394253
346	1.056624433
347	1.055332119
348	1.054138273
349	1.052949135
350	1.051748182
351	1.050510577
352	1.048877557
353	1.047483841
354	1.046262733
355	1.045191006
356	1.044089996
357	1.04276668
358	1.041480271
359	1.04032272
360	1.039318966
361	1.038209771
362	1.037081747
363	1.035777408
364	1.034589458
365	1.033208012
366	1.031985348
367	1.030705309
368	1.029774789
369	1.028677973
370	1.027450982
371	1.026408273
372	1.024752762
373	1.02387323
374	1.022203436
375	1.020934195
376	1.019763581
377	1.01817492
378	1.017023485
379	1.016002273
380	1.014313262
381	1.013152178
382	1.011801041
383	1.010705647
384	1.009508462
385	1.008072376
386	1.006963811
387	1.005603379
388	1.004345246
389	1.002897445
390	1.001412532
391	0.9998993243
392	0.9986190866
393	0.9973993391
394	0.9961149192
395	0.994768367
396	0.9936707428
397	0.9922599773
398	0.9911567162
399	0.9901875696
400	0.9891016765
401	0.9878795463
402	0.9864560768
403	0.9849580563
404	0.9836038535
405	0.9821553734
406	0.980503501
407	0.9791232736
408	0.9777838611
409	0.9767075984
410	0.9754560802
411	0.9740630084
412	0.9724489251
413	0.9712753357
414	0.9698264646
415	0.9686478256
416	0.9675184059
417	0.9660413595
418	0.964913565
419	0.9640900538
420	0.9630388633
421	0.9618115872
422	0.9607886335
423	0.9595666287
424	0.9585767263
425	0.957376275
426	0.9562605666
427	0.9550676654
428	0.9534571775
429	0.9524829795
430	0.9510440211
431	0.9498601574
432	0.9487605248
433	0.9475661062
434	0.9463091939
435	0.9451120682
436	0.9439299001
437	0.942754172
438	0.9416139446
439	0.9402239203
440	0.9392313815
441	0.9381789957
442	0.9369769651
443	0.9358575695
444	0.9346355639
445	0.9333242639
446	0.9320840599
447	0.9308163961
448	0.9296649244
449	0.9285220926
450	0.9272763809
451	0.9260904555
452	0.9248514934
453	0.9233374961
454	0.9222377945
455	0.9210697863
456	0.9199770246
457	0.9190643791
458	0.9182601872
459	0.9174008809
460	0.9160628236
461	0.9152232094
462	0.9142720056
463	0.9129020059
464	0.9117341156
465	0.9107018763
466	0.9098250111
467	0.9087816198
468	0.9076915778
469	0.9066515995
470	0.9056775
471	0.9045760161
472	0.9037010973
473	0.9027487837
474	0.9018576946
475	0.9007975775
476	0.8998406006
477	0.8988055333
478	0.8979844969
479	0.8970520935
480	0.8960754895
481	0.8953719706
482	0.8945155105
483	0.8935984047
484	0.8922751598
485	0.8913283474
486	0.8901788953
487	0.8890209096
488	0.8880044478
489	0.8869681073
490	0.8860257558
491	0.8849805148
492	0.8838722378
493	0.8826968789
494	0.881803838
495	0.8808946128
496	0.8797591749
497	0.8784804508
498	0.8775943761
499	0.8765247872
500	0.8756960274
501	0.8750164909
502	0.8742689797
503	0.873123571
504	0.8723900385
505	0.8711416652
506	0.8700374491
507	0.8690054462
508	0.8678116002
509	0.8669498611
510	0.8657691612
511	0.8646585103
512	0.8634350252
513	0.8625173272
514	0.8616711586
515	0.8608969791
516	0.8600523586
517	0.8591881015
518	0.858225473
519	0.857084217
520	0.8559823394
521	0.8550519049
522	0.854034802
523	0.8529048396
524	0.8522575909
525	0.8514570863
526	0.8506481019
527	0.8498874814
528	0.8492634815
529	0.8485037608
530	0.8475429595
531	0.8466591398
532	0.8457727035
533	0.8448509429
534	0.8437883554
535	0.8430789121
536	0.8423850829
537	0.8416941732
538	0.8409509476
539	0.8401201683
540	0.8390956312
541	0.8377456741
542	0.8369991405
543	0.8359723494
544	0.8345138969
545	0.8334925749
546	0.8323917159
547	0.8315013338
548	0.8306646489
549	0.8296691169
550	0.8287471612
551	0.8281056815
552	0.827363242
553	0.8265545282
554	0.8256500623
555	0.8244873234
556	0.8235357148
557	0.8228123789
558	0.8219396024
559	0.8209620128
560	0.819955151
561	0.8188892293
562	0.8178271468
563	0.8171373079
564	0.8162755601
565	0.815538599
566	0.8145812888
567	0.8137972869
568	0.8128577497
569	0.8123374572
570	0.8114443956
571	0.8108139176
572	0.8101790888
573	0.8093064631
574	0.8084575622
575	0.8077632957
576	0.8070637343
577	0.806412944
578	0.805711606
579	0.8045777582
580	0.8039824897
581	0.8032091437
582	0.8024290415
583	0.8017605413
584	0.8011757984
585	0.8004659489
586	0.7997352349
587	0.7987909767
588	0.7980845646
589	0.797173884
590	0.796424331
591	0.795457139
592	0.7944964455
593	0.7934800678
594	0.7925411252
595	0.7916412095
596	0.7909564022
597	0.7900829193
598	0.7889878303
599	0.7882380895
600	0.7874196323
601	0.7866442275
602	0.7855943323
603	0.7849581373
604	0.7843102841
605	0.7832942067
606	0.7825734482
607	0.7814657135
608	0.7806901004
609	0.7797574563
610	0.779097045
611	0.7785848507
612	0.777831251
613	0.7770166543
614	0.7763402408
615	0.7754443838
616	0.7748930505
617	0.7740009505
618	0.7732559146
619	0.7722223578
620	0.7714212711
621	0.7704223413
622	0.769818842
623	0.769357414
624	0.768668231
625	0.7680249323
626	0.7673886027
627	0.7664608169
628	0.7655723177
629	0.7646713873
630	0.7640047144
631	0.7632733234
632	0.7623063791
633	0.761387649
634	0.7606841748
635	0.7600232384
636	0.7593794759
637	0.7586235625
638	0.757675584
639	0.7567074306
640	0.7558051309
641	0.7551192581
642	0.7546900937
643	0.7539682568
644	0.7534430393
645	0.7531522864
646	0.7523742235
647	0.7518514477
648	0.7509859563
649	0.7501624374
650	0.7499273325
651	0.7492413197
652	0.7486813104
653	0.7482061195
654	0.747402035
655	0.7471491476
656	0.7462111887
657	0.7454602695
658	0.7446457657
659	0.7440568788
660	0.7432824463
661	0.7426902032
662	0.7418451919
663	0.741372285
664	0.7406855941
665	0.7399019467
666	0.7391207665
667	0.7381490809
668	0.7373722979
669	0.7366359517
670	0.7362021634
671	0.7353671686
672	0.7348519582
673	0.7341072298
674	0.7331797818
675	0.7324418223
676	0.7317244263
677	0.7312278361
678	0.730549431
679	0.7296556622
680	0.7290772875
681	0.7288355099
682	0.7282038663
683	0.7274890027
684	0.7266921238
685	0.7262575
686	0.7257460029
687	0.7251827372
688	0.7246995341
689	0.7241169434
