iter	Passed	Remaining
564	105448	267819
565	105623	267604
566	105785	267355
567	105944	267098
568	106091	266812
569	106257	266575
570	106406	266296
571	106566	266044
572	106751	265853
573	106913	265606
574	107083	265379
575	107237	265116
576	107398	264867
577	107582	264675
578	107770	264494
579	107940	264267
580	108110	264042
581	108281	263819
582	108437	263559
583	108594	263305
584	108783	263125
585	108942	262874
586	109118	262665
587	109281	262424
588	109436	262164
589	109637	262014
590	109888	261984
591	110069	261786
592	110238	261561
593	110395	261305
594	110550	261048
595	110731	260850
596	110950	260744
597	111132	260548
598	111304	260328
599	111487	260136
600	111671	259947
601	111895	259849
602	112074	259648
603	112278	259503
604	112492	259382
605	112680	259202
606	112862	259007
607	113033	258788
608	113205	258568
609	113418	258445
610	113587	258220
611	113764	258015
612	113933	257790
613	114132	257635
614	114296	257399
615	114477	257203
616	114663	257017
617	114850	256833
618	115037	256651
619	115229	256477
620	115413	256288
621	115603	256112
622	115770	255884
623	115923	255625
624	116067	255349
625	116213	255076
626	116371	254829
627	116531	254588
628	116690	254344
629	116864	254133
630	117028	253901
631	117174	253630
632	117332	253386
633	117487	253134
634	117654	252911
635	117810	252662
636	117969	252422
637	118130	252183
638	118308	251983
639	118474	251758
640	118639	251530
641	118797	251288
642	118955	251046
643	119118	250814
644	119278	250578
645	119434	250332
646	119601	250109
647	119764	249878
648	119997	249794
649	120200	249647
650	120389	249471
651	120562	249260
652	120740	249062
653	120920	248866
654	121073	248616
655	121250	248416
656	121416	248192
657	121588	247981
658	121776	247802
659	121931	247556
660	122116	247373
661	122285	247157
662	122446	246924
663	122630	246738
664	122794	246513
665	122969	246307
666	123143	246103
667	123300	245862
668	123470	245648
669	123618	245392
670	123784	245170
671	123945	244939
672	124096	244690
673	124262	244469
674	124406	244204
675	124557	243954
676	124706	243703
677	124860	243460
678	125018	243224
679	125180	242997
680	125342	242769
681	125489	242515
682	125656	242297
683	125812	242061
684	125973	241832
685	126127	241590
686	126304	241393
687	126481	241197
688	126702	241084
689	126883	240893
